bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
1131836121,1446234552,FB,FB,26945,19787,17791,26953,19801,17783,0.565,0.448661
1131836121,1446234552,FB,FB,20664,22562,21488,20670,22563,21502,0.747,0.891
1131836121,1446234552,FB,FB,28348,19275,19317,28353,19266,19329,0.902,0.658381
1131836121,1446234552,FB,FB,28028,19221,18701,28016,19233,18686,0.913,0.83915
1131836121,1446234552,FB,FB,21865,24546,21798,21888,24537,21804,0.889,0.971857
1131836121,1446234552,FB,FB,21872,24432,21817,21857,24430,21822,0.942,0.734528
1131836121,1446234552,FB,FB,20774,23938,21806,20762,23956,21815,0.851,0.824212
1131836121,1446234552,FB,FB,20349,23113,22013,20344,23118,22005,0.861,0.785814
1131836121,1446234552,FB,FB,28356,19299,19421,28361,19288,19408,0.964,0.944874
1131836121,1446234552,FB,FB,21927,24289,21770,21914,24296,21779,0.954,0.881264
1131836121,1446234552,FB,FB,27033,19651,17717,27045,19674,17722,0.956,0.714453
1131836121,1446234552,FB,FB,27489,20961,19410,27499,20979,19410,0.903,0.81982
1131836121,5813048182,FB,FB,31772,22610,22379,31767,22605,22360,0.948,0.733142
1131836121,5813048182,FB,FB,32233,23289,22346,32232,23281,22331,0.907,0.737852
1131836121,5813048182,FB,FB,25633,20141,17650,25620,20139,17625,0.828,0.652685
1131836121,5813048182,FB,FB,30453,23793,21448,30471,23791,21433,0.96,0.925832
1131836121,5813048182,FB,FB,25920,18606,16686,25907,18616,16687,0.951,0.92853
1131836121,5813048182,FB,FB,24867,18346,17065,24859,18337,17064,0.899,0.910777
1131836121,5813048182,FB,FB,25699,20942,18287,25694,20952,18295,0.947,0.867341
1131836121,5813048182,FB,FB,24910,18381,17381,24914,18396,17391,0.957,0.856065
1131836121,5813048182,FB,FB,32031,23220,22486,32039,23224,22467,0.944,0.811701
1131836121,5813048182,FB,FB,25655,20713,17892,25649,20700,17901,0.627,0.974
1131836121,5813048182,FB,FB,31232,23877,21303,31230,23882,21317,0.832,0.900279
1131836121,5813048182,FB,FB,24671,19352,18375,24664,19354,18394,0.875,0.89167
1131836121,5813048182,FB,FB,30545,23857,21477,30567,23871,21484,0.991,0.956024
1131836121,5813048182,FB,FB,30002,23623,21156,29989,23629,21153,0.831,0.951432
1131836121,5813048182,FB,FB,31084,24271,22294,31089,24274,22306,0.689,0.457945
1131836121,5813048182,FB,FB,31112,24288,22310,31105,24289,22317,0.819,0.448412
1131836121,5813048182,FB,FB,25976,20915,19081,25996,20918,19069,0.939,0.40552
1131836121,818796911,FB,FB,22236,23372,21437,22236,23388,21446,0.537,0.427897
1131836121,818796911,FB,FB,27767,21712,19774,27765,21714,19762,0.694,0.776
1131836121,818796911,FB,FB,28028,19221,18701,28015,19216,18710,0.913,0.866955
1131836121,818796911,FB,FB,27168,19361,18025,27180,19348,18033,0.789,0.974
1131836121,818796911,FB,FB,28073,19965,19078,28075,19975,19097,0.848,0.893758
1131836121,818796911,FB,FB,27567,21994,19909,27534,21979,19900,0.958,0.790678
1131836121,818796911,FB,FB,27306,20187,19001,27304,20209,19008,0.98,0.890471
1131836121,818796911,FB,FB,27209,20211,19002,27220,20217,18995,0.952,0.823853
1131836121,818796911,FB,FB,27869,19189,17905,27874,19179,17915,0.729,0.407033
1131836121,818796911,FB,FB,28337,19742,19094,28331,19748,19106,0.922,0.713172
1131836121,818796911,FB,FB,22884,21986,20480,22891,21983,20488,0.965,0.814932
1131836121,818796911,FB,FB,27839,19014,17885,27834,19010,17895,0.96,0.946556
1131836121,818796911,FB,FB,22849,22547,20289,22852,22537,20299,0.907,0.934266
1131836121,818796911,FB,FB,23302,22714,20779,23291,22705,20789,0.966,0.889851
1131836121,818796911,FB,FB,28630,21010,18753,28624,21008,18739,0.904,0.9242
1131836121,818796911,FB,FB,27532,21199,19311,27537,21180,19308,0.962,0.898419
1131836121,818796911,FB,FB,27627,20055,18828,27625,20041,18834,0.953,0.944507
1131836121,818796911,FB,FB,27691,20066,18605,27700,20069,18610,0.895,0.659639
1131836121,818796911,FB,FB,27212,21808,19833,27237,21822,19843,0.938,0.862526
1131836121,818796911,FB,FB,23250,22492,20577,23237,22489,20564,0.93,0.96856
1131836121,818796911,FB,FB,21801,21376,20865,21807,21380,20854,0.955,0.971113
1131836121,818796911,FB,FB,27041,19355,18326,27036,19362,18332,0.96,0.955957
1131836121,664978073,FB,FB,22100,20321,20052,22100,20328,20032,0.96,0.955075
1131836121,664978073,FB,FB,22327,20855,19644,22327,20843,19650,0.826,0.942538
1131836121,664978073,FB,FB,21616,19934,20023,21615,19926,20030,0.844,0.848666
1131836121,664978073,FB,FB,21952,21163,20635,21969,21172,20623,0.907,0.928626
1131836121,664978073,FB,FB,22503,21606,18726,22486,21600,18723,0.955,0.876362
1131836121,664978073,FB,FB,21843,19735,20188,21843,19747,20183,0.553,0.434139
1131836121,664978073,FB,FB,27583,20808,19404,27592,20814,19400,0.939,0.787747
1131836121,664978073,FB,FB,22391,20805,19646,22376,20799,19648,0.768,0.973
1131836121,664978073,FB,FB,28175,19989,19101,28174,19985,19115,0.876,0.941399
1131836121,664978073,FB,FB,23668,21541,19607,23657,21549,19619,0.748,0.997
1131836121,664978073,FB,FB,21727,19819,20134,21717,19817,20127,0.936,0.99096
1131836121,664978073,FB,FB,29110,19629,19696,29120,19642,19693,0.673,0.420336
1131836121,664978073,FB,FB,28251,20026,19049,28268,20033,19052,0.97,0.851623
1131836121,664978073,FB,FB,23035,22656,20258,23048,22663,20264,0.842,0.967459
1131836121,664978073,FB,FB,22849,22547,20289,22861,22549,20290,0.907,0.931573
1131836121,664978073,FB,FB,23302,22714,20779,23302,22720,20789,0.966,0.888914
1131836121,664978073,FB,FB,22324,21475,20587,22307,21481,20572,0.819,0.763012
1131836121,664978073,FB,FB,28630,21010,18753,28615,21019,18750,0.904,0.965864
1131836121,664978073,FB,FB,22397,21557,18968,22424,21565,18977,0.958,0.794028
1131836121,664978073,FB,FB,22874,21885,20401,22866,21880,20404,0.839,0.875398
1131836121,664978073,FB,FB,28473,22011,20289,28486,22016,20299,0.831,0.855745
1131836121,664978073,FB,FB,28802,19505,19818,28812,19505,19832,0.939,0.983861
1131836121,664978073,FB,FB,23250,22492,20577,23251,22488,20564,0.93,0.991298
1131836121,664978073,FB,FB,28979,20188,19873,28994,20199,19873,0.948,0.774573
1131836121,664978073,FB,FB,22417,21618,18903,22421,21630,18909,0.864,0.835
1131836121,664978073,FB,FB,28471,20818,19702,28471,20810,19707,0.911,0.903379
1131836121,941840616,FB,FB,23870,20873,18944,23856,20887,18945,0.991,0.964972
1131836121,941840616,FB,FB,23898,20826,19052,23888,20819,19033,0.991,0.983546
1131836121,941840616,FB,FB,22782,18731,19422,22782,18764,19439,0.978,0.73513
1131836121,941840616,FB,FB,30637,21921,20422,30639,21928,20429,0.953,0.663782
1131836121,941840616,FB,FB,23878,20959,18852,23892,20967,18863,0.996,0.952502
1131836121,941840616,FB,FB,24135,19506,18829,24127,19527,18832,0.96,0.866248
1131836121,941840616,FB,FB,23977,21491,19613,23978,21499,19616,0.982,0.92531
1131836121,941840616,FB,FB,23046,18689,19372,23042,18706,19374,0.966,0.936446
1131836121,941840616,FB,FB,23559,20563,18609,23565,20573,18612,0.906,0.887327
1131836121,941840616,FB,FB,24767,21953,19713,24755,21949,19704,0.906,0.886729
1131836121,941840616,FB,FB,28960,22976,20648,28969,22959,20648,0.966,0.746064
1131836121,941840616,FB,FB,30448,22228,21108,30461,22220,21106,0.978,0.863554
1131836121,941840616,FB,FB,29410,22237,20279,29391,22236,20269,0.977,0.799118
1131836121,941840616,FB,FB,23704,20973,18578,23687,20979,18594,0.997,0.94276
1131836121,941840616,FB,FB,30005,22252,20252,30000,22258,20254,0.945,0.973262
1131836121,941840616,FB,FB,23716,20972,18516,23710,20954,18515,0.992,0.975306
1131836121,941840616,FB,FB,23806,20950,18633,23813,20929,18654,0.983,0.750891
1131836121,941840616,FB,FB,23774,20678,18637,23768,20681,18629,0.987,0.842804
1131836121,941840616,FB,FB,23732,21037,18494,23723,21058,18519,0.993,0.46185672
1131836121,941840616,FB,FB,23014,18326,18962,23003,18323,18935,0.96,0.901685
1131836121,941840616,FB,FB,23882,21070,18672,23870,21087,18674,0.989,0.886658
1131836121,941840616,FB,FB,30201,23090,20509,30211,23107,20510,0.713,0.417972
1131836121,941840616,FB,FB,30920,21365,20913,30903,21358,20920,0.674,0.964
1131836121,941840616,FB,FB,30885,21357,20901,30899,21350,20907,0.815,0.903571
1131836121,941840616,FB,FB,30055,21906,20652,30058,21915,20669,0.985,0.633177
1131836121,941840616,FB,FB,30152,23038,20475,30161,23054,20467,0.977,0.837846
1131836121,1100788127,FB,FB,32199,23192,22303,32206,23184,22292,0.892,0.832345
1131836121,1100788127,FB,FB,24578,18954,17449,24569,18971,17440,0.822,0.389393
1131836121,1100788127,FB,FB,25651,21083,18251,25645,21064,18263,0.867,0.908608
1131836121,1100788127,FB,FB,32233,23289,22346,32248,23309,22343,0.907,0.891376
1131836121,1100788127,FB,FB,25633,20141,17650,25634,20125,17643,0.828,0.998466
1131836121,1100788127,FB,FB,29390,23893,21670,29388,23900,21690,0.928,0.870861
1131836121,1100788127,FB,FB,24681,18696,16748,24678,18698,16737,0.883,0.942304
1131836121,1100788127,FB,FB,24867,18346,17065,24854,18351,17064,0.899,0.726395
1131836121,1100788127,FB,FB,31098,23688,21604,31106,23689,21613,0.95,0.995149
1131836121,1100788127,FB,FB,24668,18629,16769,24667,18617,16770,0.954,0.670545
1131836121,1100788127,FB,FB,25896,20623,18744,25898,20636,18753,0.903,0.9277
1131836121,1100788127,FB,FB,32031,23220,22486,32034,23214,22499,0.944,0.998962
1131836121,1100788127,FB,FB,31232,23877,21303,31244,23874,21317,0.832,0.933702
1131836121,1100788127,FB,FB,25335,21377,19362,25346,21381,19345,0.937,0.964708
1131836121,1100788127,FB,FB,26148,21105,19298,26144,21113,19287,0.977,0.984044
1131836121,1100788127,FB,FB,25406,18626,17114,25423,18616,17109,0.725,0.797
1131836121,1100788127,FB,FB,30545,23857,21477,30562,23828,21466,0.991,0.314763
1131836121,1100788127,FB,FB,31293,23884,22014,31285,23892,22015,0.988,0.46030045
1131836121,1100788127,FB,FB,31053,24447,22300,31053,24440,22288,0.972,0.863053
1131836121,1100788127,FB,FB,24761,19059,18179,24771,19057,18171,0.891,0.826479
1131836121,1100788127,FB,FB,30833,24465,22058,30841,24459,22052,0.877,0.866773
1131836121,1100788127,FB,FB,30830,24372,22082,30820,24359,22071,0.694,0.936
1131836121,1100788127,FB,FB,31084,24271,22294,31079,24265,22300,0.689,0.336149
1131836121,1100788127,FB,FB,31112,24288,22310,31097,24255,22316,0.819,0.203764
1131836121,1100788127,FB,FB,24323,18912,17246,24308,18897,17258,0.931,0.72194
1131836121,1100788127,FB,FB,24856,20685,19260,24853,20693,19246,0.929,0.973606
1131836121,1100788127,FB,FB,29376,23909,21542,29386,23919,21544,0.902,0.953076
1131836121,1100788127,FB,FB,25787,21446,18559,25782,21450,18550,0.844,0.962967
1131836121,1100788127,FB,FB,25800,21396,18534,25809,21396,18532,0.883,0.904237
1131836121,1100788127,FB,FB,25148,18676,17153,25136,18661,17149,0.974,0.694123
1131836121,1384277275,FB,FB,32199,23192,22303,32197,23193,22292,0.892,0.852294
1131836121,1384277275,FB,FB,24179,20410,19025,24202,20414,19023,0.982,0.582931
1131836121,1384277275,FB,FB,24796,20745,19054,24807,20731,19054,0.957,0.974564
1131836121,1384277275,FB,FB,24776,21852,19908,24779,21844,19916,0.893,0.970776
1131836121,1384277275,FB,FB,32233,23289,22346,32234,23293,22331,0.907,0.711871
1131836121,1384277275,FB,FB,31826,22653,22388,31837,22672,22397,0.936,0.302722
1131836121,1384277275,FB,FB,30453,23793,21448,30459,23783,21451,0.96,0.79624
1131836121,1384277275,FB,FB,31772,22610,22379,31767,22624,22381,0.948,0.348268
1131836121,1384277275,FB,FB,24681,18696,16748,24688,18688,16737,0.883,0.950857
1131836121,1384277275,FB,FB,30187,23228,20309,30172,23229,20309,0.912,0.96872
1131836121,1384277275,FB,FB,24668,18629,16769,24669,18618,16757,0.954,0.628411
1131836121,1384277275,FB,FB,25315,21426,19438,25328,21432,19448,0.694,0.823
1131836121,1384277275,FB,FB,24951,21764,20069,24957,21747,20072,0.92,0.696109
1131836121,1384277275,FB,FB,24775,19284,17995,24787,19273,17995,0.955,0.893174
1131836121,1384277275,FB,FB,31232,23877,21303,31248,23877,21298,0.832,0.842141
1131836121,1384277275,FB,FB,30096,23681,21190,30109,23687,21171,0.972,0.759598
1131836121,1384277275,FB,FB,30002,23623,21156,29997,23640,21153,0.831,0.828812
1131836121,1384277275,FB,FB,31009,23401,21217,30999,23395,21209,0.685,0.961
1131836121,1384277275,FB,FB,24856,20685,19260,24869,20689,19266,0.929,0.974826
1131836121,1384277275,FB,FB,30920,21365,20913,30941,21354,20920,0.674,0.856
1131836121,1384277275,FB,FB,30885,21357,20901,30915,21361,20931,0.815,0.367907
1131836121,1384277275,FB,FB,24834,18288,17215,24834,18274,17210,0.947,0.950096
1131836121,1384277275,FB,FB,24310,20521,19081,24311,20501,19067,0.918,0.62013
1131836121,1067331159,FB,FB,29925,20951,19935,29935,20926,19922,0.549,0.40544
1131836121,1067331159,FB,FB,23870,20873,18944,23860,20856,18938,0.991,0.905247
1131836121,1067331159,FB,FB,30301,21323,20359,30296,21333,20362,0.987,0.934548
1131836121,1067331159,FB,FB,23898,20826,19052,23882,20832,19063,0.991,0.88415
1131836121,1067331159,FB,FB,23690,21562,19574,23688,21569,19584,0.809,0.999
1131836121,1067331159,FB,FB,29477,21067,19814,29486,21063,19826,0.829,0.83806
1131836121,1067331159,FB,FB,24226,21635,20051,24222,21624,20054,0.898,0.754112
1131836121,1067331159,FB,FB,23668,21541,19607,23683,21553,19600,0.748,0.953
1131836121,1067331159,FB,FB,22782,18731,19422,22799,18729,19430,0.978,0.721546
1131836121,1067331159,FB,FB,29843,21017,19989,29841,21017,19998,0.98,0.948497
1131836121,1067331159,FB,FB,21312,19851,19890,21320,19859,19881,0.901,0.682735
1131836121,1067331159,FB,FB,29606,22312,20383,29618,22307,20390,0.964,0.851199
1131836121,1067331159,FB,FB,31489,20745,19495,31482,20734,19466,0.976,0.630256
1131836121,1067331159,FB,FB,28917,22731,20442,28897,22715,20441,0.51,0.433716
1131836121,1067331159,FB,FB,29141,21566,20118,29153,21561,20127,0.925,0.994889
1131836121,1067331159,FB,FB,29454,20881,19817,29456,20890,19827,0.871,0.918127
1131836121,1067331159,FB,FB,29117,21549,20205,29106,21540,20209,0.866,0.944067
1131836121,1067331159,FB,FB,22938,20279,18342,22942,20282,18355,0.904,0.973348
1131836121,1067331159,FB,FB,23284,20052,18540,23293,20056,18525,0.934,0.898136
1131836121,1067331159,FB,FB,22660,18805,19318,22667,18812,19312,0.983,0.893874
1131836121,1067331159,FB,FB,29810,22238,20507,29823,22249,20492,0.954,0.725753
1131836121,1067331159,FB,FB,30005,22252,20252,30000,22251,20236,0.945,0.956044
1131836121,1067331159,FB,FB,24132,21373,19526,24149,21371,19536,0.694,0.721
1131836121,1067331159,FB,FB,23525,20212,18450,23562,20174,18446,0.99,0.895218
1131836121,1067331159,FB,FB,30487,21336,20434,30476,21336,20424,0.9,0.851802
1131836121,1067331159,FB,FB,23894,20943,19118,23882,20942,19096,0.985,0.833169
1131836121,1413813658,FB,FB,25274,18768,17064,25272,18775,17051,0.944,0.971909
1131836121,1413813658,FB,FB,19809,24020,22555,19803,24022,22539,0.79,0.692
1131836121,1413813658,FB,FB,27493,18802,17827,27478,18796,17849,0.631,0.924
1131836121,1413813658,FB,FB,25920,18606,16686,25911,18591,16687,0.951,0.988213
1131836121,1413813658,FB,FB,20314,23827,22631,20315,23830,22618,0.883,0.83729
1131836121,1413813658,FB,FB,20774,23938,21806,20784,23940,21819,0.851,0.976369
1131836121,1413813658,FB,FB,25943,18545,17008,25937,18537,16984,0.865,0.817845
1131836121,1413813658,FB,FB,25351,18838,17183,25359,18840,17192,0.967,0.947329
1131836121,1413813658,FB,FB,27446,18778,17597,27447,18766,17589,0.9,0.927536
1131836121,1413813658,FB,FB,20456,22406,22000,20444,22403,21993,0.952,0.769004
1131836121,1413813658,FB,FB,20217,22611,21723,20223,22614,21707,0.837,0.70747
1131836121,1413813658,FB,FB,20349,23113,22013,20360,23116,22005,0.861,0.858195
1131836121,1413813658,FB,FB,21589,24445,22260,21609,24448,22251,0.859,0.358783
1131836121,1413813658,FB,FB,27176,19564,17731,27188,19592,17706,0.981,0.47736
1131836121,1413813658,FB,FB,22066,23649,21481,22064,23662,21490,0.725,0.879
1131836121,1413813658,FB,FB,20117,24246,22824,20116,24233,22823,0.824,0.991
1131836121,1413813658,FB,FB,27123,19372,18212,27131,19388,18232,0.937,0.773868
1131836121,1413813658,FB,FB,27143,19448,17817,27151,19443,17830,0.897,0.924974
1131836121,1413813658,FB,FB,19906,22857,21550,19918,22842,21553,0.889,0.993462
