bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
1127471202,664978073,FB,FB,29118,22135,19294,29114,22127,19271,0.981,0.909084
1127471202,664978073,FB,FB,29128,22143,19259,29120,22124,19267,0.959,0.937805
1126306451,664978073,FB,FB,23069,22748,20853,23087,22738,20838,0.989,0.981544
1126306451,664978073,FB,FB,21530,21588,20272,21521,21601,20281,0.944,0.973207
1126306451,664978073,FB,FB,23016,22650,20303,23025,22658,20308,0.957,0.811412
1126306451,664978073,FB,FB,22101,21967,20613,22121,21948,20601,0.995,0.691936
1126306451,664978073,FB,FB,21497,21493,20217,21493,21486,20228,0.983,0.997592
1126306451,664978073,FB,FB,23747,22461,20539,23730,22474,20536,0.884,0.960728
1126306451,664978073,FB,FB,21925,21767,20675,21936,21764,20688,0.993,0.976661
1126306451,664978073,FB,FB,23367,22402,20342,23379,22414,20329,0.702,0.49804
1126306451,664978073,FB,FB,21389,21486,21123,21389,21484,21104,0.961,0.975434
1126306451,664978073,FB,FB,21677,21818,20707,21683,21823,20690,0.953,0.963419
1126306451,664978073,FB,FB,22330,21439,20362,22347,21445,20362,0.883,0.979599
1126306451,664978073,FB,FB,22383,21016,20279,22393,20997,20275,0.87,0.971294
1126306451,664978073,FB,FB,22886,22877,20648,22901,22884,20663,0.977,0.45804858
1126306451,664978073,FB,FB,21642,22526,19425,21664,22519,19419,0.937,0.866463
1126306451,664978073,FB,FB,22292,22254,20613,22311,22252,20597,0.981,0.979758
1126306451,664978073,FB,FB,22048,21464,20869,22081,21489,20865,0.889,0.16295
1126306451,664978073,FB,FB,23277,22413,20545,23290,22424,20555,0.942,0.884091
1126306451,664978073,FB,FB,22373,21584,20586,22395,21597,20584,0.988,0.897013
1126306451,664978073,FB,FB,21779,21256,20864,21755,21276,20845,0.892,0.705713
1126306451,664978073,FB,FB,22073,21482,20856,22079,21487,20864,0.54,0.498314
1126306451,664978073,FB,FB,22133,21444,20859,22148,21460,20865,0.983,0.951769
1126306451,664978073,FB,FB,22890,22563,20511,22897,22564,20525,0.968,0.989595
1126306451,664978073,FB,FB,22621,22824,20826,22621,22844,20818,0.927,0.989222
1126306451,664978073,FB,FB,22012,20838,20441,22000,20852,20428,0.935,0.739826
1126306451,664978073,FB,FB,21614,20479,20284,21598,20469,20280,0.965,0.781432
1126306451,664978073,FB,FB,23610,22217,20127,23604,22218,20114,0.811,0.927692
1126306451,664978073,FB,FB,22506,22709,20817,22494,22696,20809,0.908,0.946936
1126306451,664978073,FB,FB,23202,22844,20855,23190,22860,20853,0.976,0.988006
1126306451,664978073,FB,FB,23154,22145,20225,23149,22133,20235,0.963,0.773486
1126306451,664978073,FB,FB,22207,21581,20294,22224,21595,20295,0.976,0.977228
1126306451,664978073,FB,FB,23713,22455,20538,23719,22466,20542,0.982,0.979398
1126306451,664978073,FB,FB,21305,21488,21187,21286,21490,21165,0.904,0.368931
1126306451,664978073,FB,FB,22141,20818,20398,22151,20822,20386,0.935,0.981803
1126306451,664978073,FB,FB,22089,20808,20378,22111,20803,20359,0.945,0.747983
1126306451,664978073,FB,FB,22441,21522,20609,22444,21531,20590,0.965,0.988045
1126306451,664978073,FB,FB,21714,22177,19652,21743,22196,19650,0.952,0.679658
1126306451,664978073,FB,FB,21710,22252,19533,21710,22233,19530,0.967,0.862907
1126306451,664978073,FB,FB,22275,21000,20452,22284,21024,20462,0.965,0.48190606
1126306451,664978073,FB,FB,22692,22789,20756,22693,22814,20747,0.983,0.822452
1126306451,664978073,FB,FB,22074,21519,20754,22058,21528,20747,0.963,0.778825
1126306451,664978073,FB,FB,22661,21909,20344,22679,21890,20351,0.977,0.850883
1126306451,664978073,FB,FB,22548,22223,20699,22522,22238,20689,0.945,0.822355
1126306451,664978073,FB,FB,22291,21911,20472,22271,21925,20493,0.977,0.597551
1126306451,664978073,FB,FB,22284,22218,20586,22287,22198,20572,0.956,0.985481
1126306451,664978073,FB,FB,22698,21916,20472,22694,21902,20491,0.991,0.985816
1126306451,664978073,FB,FB,22266,21479,20421,22285,21477,20427,0.66,0.952
1126306451,664978073,FB,FB,22917,22798,20599,22910,22778,20599,0.902,0.99428
1126306451,664978073,FB,FB,21412,21118,21009,21403,21134,21006,0.926,0.9146
1126306451,664978073,FB,FB,22929,22712,20207,22899,22720,20193,0.986,0.711037
1126306451,664978073,FB,FB,21490,21207,21060,21468,21207,21059,0.951,0.800606
1126306451,664978073,FB,FB,21398,21096,21064,21376,21107,21062,0.97,0.71304
1126306451,664978073,FB,FB,21565,22374,19414,21589,22386,19412,0.973,0.857263
1126306451,664978073,FB,FB,22126,21824,20138,22120,21831,20125,0.864,0.876042
1126306451,664978073,FB,FB,23165,22249,20428,23155,22259,20442,0.967,0.958989
1126306451,664978073,FB,FB,22067,21938,20595,22059,21918,20588,0.99,0.981261
1126306451,664978073,FB,FB,22909,22464,20395,22943,22470,20387,0.938,0.679191
1126306451,664978073,FB,FB,23157,22248,20279,23127,22255,20278,0.985,0.862525
1126306451,664978073,FB,FB,22573,21969,20295,22559,21973,20303,0.974,0.956723
1126306451,664978073,FB,FB,23163,22553,20370,23155,22569,20377,0.947,0.93229
1126306451,664978073,FB,FB,22004,21854,20802,21983,21854,20803,0.894,0.9346
1126306451,664978073,FB,FB,22777,22716,20135,22777,22697,20136,0.99,0.994104
1126306451,664978073,FB,FB,22834,21727,20118,22846,21733,20091,0.981,0.991986
1126306451,664978073,FB,FB,23217,22867,20875,23216,22886,20867,0.676,0.968
1126306451,664978073,FB,FB,22302,21474,20396,22304,21483,20411,0.969,0.908569
1126306451,664978073,FB,FB,22346,21517,20269,22346,21543,20272,0.979,0.919917
1126306451,664978073,FB,FB,22254,21823,20453,22240,21811,20452,0.979,0.990408
1126306451,664978073,FB,FB,23328,22432,20435,23332,22451,20451,0.962,0.817871
1126306451,664978073,FB,FB,22307,20946,20206,22279,20935,20194,0.969,0.982171
1126306451,664978073,FB,FB,21991,21520,20512,21983,21524,20524,0.96,0.817431
1126306451,664978073,FB,FB,23485,22239,20255,23486,22216,20249,0.972,0.847482
1126306451,664978073,FB,FB,21859,21772,20653,21827,21778,20639,0.973,0.738228
1126306451,664978073,FB,FB,22316,21517,20517,22320,21492,20524,0.991,0.946784
1126306451,664978073,FB,FB,22202,21798,20255,22204,21817,20254,0.853,0.956606
1126306451,664978073,FB,FB,23761,22482,20460,23751,22498,20455,0.961,0.964712
1126306451,664978073,FB,FB,22905,22524,20828,22903,22512,20808,0.988,0.986557
1126306451,664978073,FB,FB,21669,20498,20177,21680,20497,20157,0.969,0.995662
1126306451,664978073,FB,FB,23627,22521,20456,23636,22537,20469,0.989,0.780619
1126306451,664978073,FB,FB,22587,22520,20418,22579,22534,20425,0.969,0.818741
1126306451,664978073,FB,FB,22372,21500,20515,22379,21482,20510,0.949,0.967128
1126306451,664978073,FB,FB,22644,21865,20436,22635,21862,20456,0.979,0.931139
1126306451,664978073,FB,FB,22557,22640,20744,22522,22652,20758,0.995,0.372645
1126306451,664978073,FB,FB,22362,21860,20388,22373,21855,20358,0.992,0.487643
1126306451,664978073,FB,FB,21620,20502,20177,21620,20492,20162,0.976,0.971106
1126306451,664978073,FB,FB,21502,21601,20168,21499,21618,20160,0.966,0.95528
1126306451,664978073,FB,FB,22925,21858,20461,22949,21871,20444,0.627,0.88
1126306451,664978073,FB,FB,23126,22470,20882,23146,22465,20872,0.902,0.954084
1126306451,664978073,FB,FB,22351,22279,20671,22357,22299,20668,0.993,0.991305
1126306451,664978073,FB,FB,23281,22727,20794,23302,22720,20794,0.952,0.987018
1126306451,664978073,FB,FB,22106,21769,20112,22080,21767,20106,0.964,0.747327
1126306451,664978073,FB,FB,22665,22527,20469,22649,22512,20472,0.984,0.830594
1126306451,664978073,FB,FB,22977,22849,20707,22998,22849,20700,0.838,0.855996
1126306451,664978073,FB,FB,22877,21862,20431,22861,21847,20416,0.95,0.992582
1126306451,664978073,FB,FB,22541,22673,20778,22531,22665,20778,0.533,0.394892
1126306451,664978073,FB,FB,22894,22614,20417,22910,22625,20414,0.958,0.991261
1126306451,664978073,FB,FB,22373,21824,20379,22373,21855,20357,0.523,0.221439
1126306451,664978073,FB,FB,23344,22438,20359,23375,22425,20335,0.975,0.683614
1126306451,664978073,FB,FB,23129,22145,20195,23115,22143,20174,0.624,0.449692
1126306451,664978073,FB,FB,23491,22305,20119,23482,22326,20120,0.95,0.949339
1126306451,664978073,FB,FB,22346,20907,20505,22349,20889,20493,0.974,0.951432
1126306451,664978073,FB,FB,22783,22757,20054,22763,22765,20049,0.957,0.84108
1128495875,664978073,FB,FB,29288,22236,19528,29288,22253,19500,0.86,0.583946
1094934199,664978073,FB,FB,22256,20677,19631,22229,20645,19621,0.986,0.958257
1094934199,664978073,FB,FB,22505,21276,20291,22477,21277,20284,0.984,0.901684
1094934199,664978073,FB,FB,21570,19786,20078,21593,19778,20074,0.991,0.807051
1094934199,664978073,FB,FB,21615,19810,20087,21614,19789,20079,0.991,0.976693
1094934199,664978073,FB,FB,22896,22080,20501,22897,22047,20499,0.895,0.695899
1094934199,664978073,FB,FB,21985,20655,20401,21964,20636,20391,0.912,0.767958
1094934199,664978073,FB,FB,23035,22077,20506,23043,22069,20490,0.982,0.924249
1094934199,664978073,FB,FB,22889,22325,20135,22909,22334,20132,0.98,0.99578
1094934199,664978073,FB,FB,22241,20443,19966,22259,20441,19953,0.994,0.940636
1094934199,664978073,FB,FB,20999,20827,20517,21011,20843,20543,0.981,0.810631
1094934199,664978073,FB,FB,21663,21114,20721,21671,21120,20698,0.903,0.469915
1094934199,664978073,FB,FB,21139,21023,21239,21127,21023,21224,0.989,0.988133
1094934199,664978073,FB,FB,22038,21191,20851,22044,21201,20837,0.982,0.9857
1094934199,664978073,FB,FB,22427,20387,19558,22413,20404,19558,0.912,0.823288
1094934199,664978073,FB,FB,22663,20667,19844,22641,20660,19829,0.993,0.98383
1094934199,664978073,FB,FB,21582,20674,21046,21567,20656,21048,0.981,0.46040815
1094934199,664978073,FB,FB,21581,19980,20275,21560,19982,20277,0.983,0.591058
1094934199,664978073,FB,FB,21618,19979,20280,21617,19960,20267,0.993,0.910292
1094934199,664978073,FB,FB,21837,19772,20191,21849,19758,20181,0.996,0.985995
1094934199,664978073,FB,FB,21600,20635,21040,21600,20622,21032,0.666,0.444987
1094934199,664978073,FB,FB,21733,20209,20280,21722,20207,20267,0.967,0.992503
1094934199,664978073,FB,FB,22113,20483,20111,22088,20485,20098,0.994,0.510744
1094934199,664978073,FB,FB,22121,20696,19868,22148,20690,19873,0.996,0.968797
1094934199,664978073,FB,FB,22070,20335,19916,22077,20352,19917,0.987,0.826402
1094934199,664978073,FB,FB,22690,20702,19869,22688,20719,19897,0.991,0.992155
1094934199,664978073,FB,FB,22406,20386,19644,22424,20414,19633,0.983,0.505483
1094934199,664978073,FB,FB,21450,20509,20112,21478,20486,20111,0.93,0.549101
1094934199,664978073,FB,FB,22153,20592,19902,22154,20575,19887,0.998,0.91363
1094934199,664978073,FB,FB,22106,20606,19868,22114,20579,19859,0.997,0.928106
1094934199,664978073,FB,FB,23249,22257,20488,23241,22273,20476,0.976,0.92512
1094934199,664978073,FB,FB,23301,22263,20518,23295,22286,20521,0.987,0.920993
1094934199,664978073,FB,FB,21075,20640,20415,21096,20635,20419,0.994,0.88024
1094934199,664978073,FB,FB,21981,20626,20358,21954,20635,20359,0.988,0.993329
1094934199,664978073,FB,FB,22076,20273,19992,22076,20294,19993,0.988,0.892346
1094934199,664978073,FB,FB,23417,22058,20260,23410,22072,20250,0.967,0.986058
1094934199,664978073,FB,FB,21646,19850,20166,21658,19873,20143,0.995,0.903498
1094934199,664978073,FB,FB,21527,19806,20040,21530,19827,20054,0.987,0.975027
1094934199,664978073,FB,FB,22918,22172,20621,22931,22175,20641,0.998,0.912247
1094934199,664978073,FB,FB,22331,20651,19649,22315,20626,19669,0.997,0.622776
1094934199,664978073,FB,FB,21445,20542,20163,21439,20557,20163,0.929,0.995875
1094934199,664978073,FB,FB,22548,22082,20352,22570,22080,20341,0.975,0.743009
1094934199,664978073,FB,FB,21708,20933,20692,21692,20955,20687,0.968,0.45969355
1094934199,664978073,FB,FB,20805,20906,20220,20797,20910,20232,0.99,0.982446
1094934199,664978073,FB,FB,21758,19862,20232,21739,19868,20216,0.997,0.4543963
1094934199,664978073,FB,FB,21691,20210,20315,21684,20216,20298,0.986,0.895461
1094934199,664978073,FB,FB,22980,22115,20136,23004,22100,20135,0.997,0.559013
1094934199,664978073,FB,FB,21096,20682,20494,21103,20667,20504,0.973,0.903336
1094934199,664978073,FB,FB,22518,20991,20030,22524,20966,20031,0.993,0.911661
1094934199,664978073,FB,FB,22936,21972,20227,22939,21972,20243,0.994,0.995985
1094934199,664978073,FB,FB,22939,22161,20131,22939,22175,20144,0.911,0.430098
1094934199,664978073,FB,FB,20957,20595,20498,20954,20581,20509,0.979,0.940766
1094934199,664978073,FB,FB,22389,20864,20439,22381,20839,20432,0.994,0.924725
1094934199,664978073,FB,FB,21020,20663,20536,21024,20658,20551,0.992,0.98751
1094934199,664978073,FB,FB,21686,20653,20338,21712,20664,20345,0.972,0.893064
1094934199,664978073,FB,FB,21944,21016,20522,21931,20997,20517,0.979,0.940856
1094934199,664978073,FB,FB,22606,20556,19800,22590,20563,19795,0.994,0.975629
1094934199,664978073,FB,FB,22868,21718,20100,22851,21733,20094,0.995,0.986569
1094934199,664978073,FB,FB,22659,21526,19184,22642,21512,19196,0.988,0.491377
1094934199,664978073,FB,FB,21730,19804,20224,21728,19818,20214,0.99,0.991975
1094934199,664978073,FB,FB,23185,21601,20203,23189,21585,20210,0.993,0.906989
